"segment_filename","basefile","black_flag","age","female_flag","source","duration","wordcount","clean_google_wer","clean_ibm_wer","clean_amazon_wer","clean_msft_wer","clean_apple_wer"
"HUM_6_16","HUM_6",0,21,1,"HUM",24.2479999999996,73,0.232876712,0.150684932,0.109589041,0.082191781,0.205479452
"HUM_7_2","HUM_7",0,25,0,"HUM",28.375,8,0.5,0.25,0.25,0,0.375
"HUM_7_12","HUM_7",0,25,0,"HUM",17.597,19,0.315789474,0.263157895,0.421052632,0.210526316,0.315789474
"HUM_7_13","HUM_7",0,25,0,"HUM",8.18200000000002,21,0.285714286,0.428571429,0.142857143,0.19047619,0.428571429
"HUM_7_14","HUM_7",0,25,0,"HUM",6.39999999999998,13,0,0.307692308,0.076923077,0.230769231,0.153846154
"HUM_7_16","HUM_7",0,25,0,"HUM",11.614,9,0.888888889,0.888888889,0.888888889,0.777777778,0.888888889
"HUM_7_22","HUM_7",0,25,0,"HUM",8.02699999999993,11,0,0.545454545,0.181818182,0,0.363636364
"HUM_7_23","HUM_7",0,25,0,"HUM",7.505,21,0.285714286,0.047619048,0.142857143,0.19047619,0.571428571
"HUM_7_27","HUM_7",0,25,0,"HUM",22.545,46,0.282608696,0.326086957,0.239130435,0.239130435,0.391304348
"HUM_7_37","HUM_7",0,25,0,"HUM",21.5700000000002,54,0.12962963,0.092592593,0.037037037,0.037037037,0.185185185
"HUM_7_38","HUM_7",0,25,0,"HUM",18.5030000000002,56,0.428571429,0.267857143,0.25,0.232142857,0.303571429
"HUM_7_42","HUM_7",0,25,0,"HUM",10.9029999999998,37,0.378378378,0.189189189,0.216216216,0.27027027,0.351351351
"HUM_7_44","HUM_7",0,25,0,"HUM",21.9819999999997,68,0.264705882,0.308823529,0.235294118,0.235294118,0.323529412
"HUM_7_45","HUM_7",0,25,0,"HUM",11.0829999999999,24,0.125,0.166666667,0.125,0.166666667,0.166666667
"HUM_7_46","HUM_7",0,25,0,"HUM",6.06399999999985,19,0.210526316,0.263157895,0.052631579,0.105263158,0.157894737
"HUM_7_54","HUM_7",0,25,0,"HUM",18.546,49,0.102040816,0.102040816,0.081632653,0.020408163,0.102040816
"HUM_7_63","HUM_7",0,25,0,"HUM",42.085,102,0.460784314,0.411764706,0.18627451,0.274509804,0.392156863
"HUM_7_68","HUM_7",0,25,0,"HUM",19.1400000000003,48,0.3125,0.375,0.25,0.145833333,0.395833333
"HUM_7_70","HUM_7",0,25,0,"HUM",12.7359999999999,15,0.266666667,0.2,0.133333333,0.133333333,0.266666667
"HUM_7_72","HUM_7",0,25,0,"HUM",31.6470000000004,65,0.353846154,0.4,0.323076923,0.246153846,0.261538462
"HUM_7_73","HUM_7",0,25,0,"HUM",6.39499999999998,21,0.380952381,0.285714286,0.285714286,0.19047619,0.380952381
"HUM_7_82","HUM_7",0,25,0,"HUM",20.3140000000003,55,0.254545455,0.181818182,0.109090909,0.145454545,0.290909091
"HUM_7_83","HUM_7",0,25,0,"HUM",6.28200000000015,9,0.555555556,0.333333333,0.222222222,0.444444444,0.555555556
"HUM_7_87","HUM_7",0,25,0,"HUM",19.1289999999999,28,0.142857143,0.142857143,0.107142857,0.071428571,0.142857143
"HUM_7_92","HUM_7",0,25,0,"HUM",12.1429999999996,31,0.35483871,0.35483871,0.258064516,0.225806452,0.419354839
"HUM_7_99","HUM_7",0,25,0,"HUM",7.79499999999962,24,0.125,0.166666667,0.291666667,0.166666667,0.291666667
"HUM_7_100","HUM_7",0,25,0,"HUM",28.2240000000002,32,0.59375,0.34375,0.25,0.1875,0.375
"HUM_7_102","HUM_7",0,25,0,"HUM",5.78999999999996,22,0.590909091,0.272727273,0.090909091,0.181818182,0.5
"HUM_7_103","HUM_7",0,25,0,"HUM",15.0820000000003,33,0.484848485,0.606060606,0.393939394,0.484848485,0.545454545
"HUM_7_105","HUM_7",0,25,0,"HUM",7.90099999999984,13,0.307692308,0.153846154,0.307692308,0.307692308,0.230769231
"HUM_7_109","HUM_7",0,25,0,"HUM",16.8700000000003,41,0.219512195,0.146341463,0.170731707,0.146341463,0.170731707
"HUM_9_1","HUM_9",0,30,1,"HUM",5.39600000000001,18,0.111111111,0.166666667,0.055555556,0.111111111,0.222222222
"HUM_9_2","HUM_9",0,30,1,"HUM",7.452,26,0.384615385,0.076923077,0.115384615,0.076923077,0.230769231
"HUM_9_3","HUM_9",0,30,1,"HUM",7.322,21,0.19047619,0.095238095,0.095238095,0.095238095,0.142857143
"HUM_9_4","HUM_9",0,30,1,"HUM",7.59699999999999,16,0,0,0,0.0625,0.0625
"HUM_9_5","HUM_9",0,30,1,"HUM",5.229,17,0.176470588,0.176470588,0.176470588,0.117647059,0.117647059
"HUM_9_6","HUM_9",0,30,1,"HUM",25.508,71,0.098591549,0.112676056,0.056338028,0.14084507,0.183098592
"HUM_9_7","HUM_9",0,30,1,"HUM",10.913,42,0.19047619,0.238095238,0.095238095,0.214285714,0.261904762
"HUM_9_8","HUM_9",0,30,1,"HUM",21.378,68,0.191176471,0.161764706,0.088235294,0.102941176,0.176470588
"HUM_9_9","HUM_9",0,30,1,"HUM",9.73500000000001,47,0.255319149,0.14893617,0.106382979,0.063829787,0.234042553
"HUM_9_11","HUM_9",0,30,1,"HUM",12.913,41,0.219512195,0.170731707,0.170731707,0.12195122,0.292682927
"HUM_9_12","HUM_9",0,30,1,"HUM",7.64599999999996,19,0.105263158,0.263157895,0.052631579,0.105263158,0.157894737
"HUM_9_13","HUM_9",0,30,1,"HUM",5.50100000000003,19,0.263157895,0.315789474,0.157894737,0.157894737,0.263157895
"HUM_9_14","HUM_9",0,30,1,"HUM",21.481,41,0.146341463,0.170731707,0.097560976,0.170731707,0.170731707
"HUM_9_15","HUM_9",0,30,1,"HUM",24.242,47,0.063829787,0.14893617,0.063829787,0.021276596,0.042553191
"HUM_9_16","HUM_9",0,30,1,"HUM",10.5780000000001,36,0.055555556,0.027777778,0.083333333,0.027777778,0.027777778
"HUM_9_17","HUM_9",0,30,1,"HUM",11.321,26,0.076923077,0.153846154,0.115384615,0.038461538,0.192307692
"HUM_9_18","HUM_9",0,30,1,"HUM",16.6479999999999,43,0.046511628,0.093023256,0.069767442,0.069767442,0.069767442
"HUM_9_19","HUM_9",0,30,1,"HUM",11.4859999999999,26,0.192307692,0.192307692,0.192307692,0.269230769,0.384615385
"HUM_9_20","HUM_9",0,30,1,"HUM",9.96900000000005,32,0.15625,0.15625,0.15625,0.09375,0.09375
"HUM_9_21","HUM_9",0,30,1,"HUM",8.94299999999998,22,0,0,0.045454545,0,0
"HUM_9_22","HUM_9",0,30,1,"HUM",11.2860000000001,36,0.083333333,0.083333333,0.111111111,0.055555556,0.083333333
"HUM_9_23","HUM_9",0,30,1,"HUM",8.47700000000009,20,0.1,0.05,0,0.05,0.15
"HUM_9_24","HUM_9",0,30,1,"HUM",11.1589999999999,27,0.222222222,0.259259259,0.259259259,0.296296296,0.222222222
"HUM_9_25","HUM_9",0,30,1,"HUM",25.2330000000001,89,0.123595506,0.101123596,0.112359551,0.112359551,0.112359551
